Wavelength_nm,Reconstructed_1,Reconstructed_2,Reconstructed_3,Reconstructed_4,Reconstructed_5,Reconstructed_6
360,1.03037921478768e-18,1.38276056447482e-33,9.96336026922337e-123,3.85969272635582e-293,1.50535313617719e-05,1.83006493897578e-82
361,8.40012817270111e-18,2.03583871232126e-32,2.34704923608727e-120,2.02900668483208e-289,2.15860902973837e-05,1.50320175161816e-80
362,6.4836678126233e-17,2.83568086046615e-31,5.230656088472e-118,1.00909446640711e-285,2.92837835101069e-05,1.16811512129826e-78
363,4.73815708965056e-16,3.73670605522796e-30,1.10282787043367e-115,4.74785854913871e-282,3.75835661354967e-05,8.58759627700761e-77
364,3.27838276217596e-15,4.65841440453854e-29,2.19976810010723e-113,2.1133981317906e-278,4.5633773739043e-05,5.9727617660948e-75
365,2.14772560796149e-14,5.49420556639721e-28,4.15110450581363e-111,8.89984549078101e-275,5.24194408263457e-05,3.9300345312286e-73
366,1.33221422036759e-13,6.13040673228779e-27,7.41085019883788e-109,3.5456936951045e-271,5.69660338201119e-05,2.44644321939248e-71
367,7.82442450959084e-13,6.47129614360729e-26,1.25167045925366e-106,1.33640337454443e-267,5.85675670202155e-05,1.44075957660155e-69
368,4.35131450543958e-12,6.46265333364338e-25,1.99999804344854e-104,4.7653138862092e-264,5.69660338201203e-05,8.02722599030216e-68
369,2.2913141528152e-11,6.10587692831668e-24,3.02333825559822e-102,1.60754471368415e-260,5.24194408263883e-05,4.23113678028141e-66
370,1.14248615300453e-10,5.45761420692817e-23,4.32375929218753e-100,5.13041162699954e-257,4.56337737392388e-05,2.10992122297225e-64
371,5.39417610609941e-10,4.6150373401177e-22,5.84997321585532e-98,1.54902690482544e-253,3.75835661363479e-05,9.95389411179886e-63
372,2.4116404017557e-09,3.69202987209418e-21,7.48796571629533e-96,4.42469471132047e-250,2.92837835136072e-05,4.4426018457452e-61
373,1.02098244146268e-08,2.79429847394719e-20,9.06758044712976e-94,1.19570834930519e-246,2.15860903110019e-05,1.87585544956002e-59
